epoch,lossD,lossG,D_x,D_G_z1,D_G_z2
1,0.09912960976362228,5.7350006103515625,0.9456591010093689,0.024337269365787506,0.010999456979334354
2,0.04839868098497391,6.40903377532959,0.9667613506317139,0.010252837091684341,0.00489093316718936
3,0.021915607154369354,7.08621072769165,0.989709734916687,0.010975614190101624,0.0020740111358463764
4,0.4468485713005066,5.375986099243164,0.8534553647041321,0.08980138599872589,0.046043287962675095
5,0.0163105558604002,6.403703212738037,0.9899018406867981,0.0057506803423166275,0.003265293315052986
6,0.021166741847991943,5.822184085845947,0.9879555106163025,0.008303028531372547,0.005357067566365004
7,0.018482401967048645,5.5555572509765625,0.9986472725868225,0.01552006509155035,0.00862319115549326
8,2.2634236812591553,5.0272626876831055,0.9751391410827637,0.8442232012748718,0.020199639722704887
9,0.19307421147823334,3.6698215007781982,0.8791409134864807,0.04712830111384392,0.06121012941002846
10,0.0774335265159607,5.050253868103027,0.9364218711853027,0.004971145652234554,0.01065011601895094
11,0.04658254235982895,5.266860008239746,0.9694887399673462,0.013156072236597538,0.0101320156827569
12,0.022537872195243835,5.378922462463379,0.9931840896606445,0.015157162211835384,0.00901972595602274
13,0.1527734100818634,4.89484977722168,0.871514081954956,0.006962641607969999,0.014166726730763912
14,0.3895346224308014,0.5499606728553772,0.729626476764679,0.026891911402344704,0.630449652671814
15,0.11468695104122162,5.663171768188477,0.984499990940094,0.08920013904571533,0.005882184486836195
16,0.23253889381885529,4.434357166290283,0.8908873796463013,0.09121371805667877,0.02500014938414097
17,0.17136302590370178,5.816371917724609,0.9841687679290771,0.11843036860227585,0.007046806160360575
18,0.3274858295917511,3.9089858531951904,0.7958112359046936,0.05231460556387901,0.04953455924987793
19,0.5043882727622986,8.16264533996582,0.9762440919876099,0.34576502442359924,0.000864145637024194
20,0.29793524742126465,3.3278090953826904,0.8880453109741211,0.10594384372234344,0.064271941781044
21,0.2506825923919678,5.644554138183594,0.9398376941680908,0.1331304907798767,0.007753155194222927
22,0.4268631935119629,2.4806158542633057,0.7429073452949524,0.07840198278427124,0.11736489832401276
23,0.32847002148628235,3.990980386734009,0.8765029907226562,0.1550859808921814,0.02851075306534767
24,0.3422998785972595,4.024291038513184,0.8152273297309875,0.08550950884819031,0.03468707948923111
25,0.3602367043495178,3.366795778274536,0.7637171745300293,0.043441105633974075,0.06600241363048553
26,1.8445959091186523,1.8862005472183228,0.2902832329273224,0.007748164236545563,0.3841218054294586
27,0.4382270872592926,4.1799798011779785,0.8782274723052979,0.20400866866111755,0.026525264605879784
