epoch,lossD,lossG,D_x,D_G_z1,D_G_z2
1,0.003034047083929181,10.421104431152344,0.9988820552825928,0.0018985485658049583,0.0002547930052969605
2,0.0035171974450349808,10.367875099182129,0.9991493821144104,0.0026517475489526987,7.368560181930661e-05
3,0.001312499982304871,17.83307647705078,0.999241292476654,0.0005506531451828778,4.040458588860929e-05
4,3.540865145623684e-05,61.51024627685547,0.9999645948410034,5.135979932978234e-20,5.149291401609229e-20
5,1.3264309927762952e-05,60.73480987548828,0.9999867081642151,1.4380974388934805e-19,1.4403730903067963e-19
6,1.4317143723019399e-05,61.082942962646484,0.9999856948852539,1.1451317794182776e-19,1.1471547530038526e-19
7,1.0221090633422136e-05,60.941070556640625,0.9999897480010986,3.556748679477015e-20,3.566254471055412e-20
8,6.9502225414908025e-06,60.265037536621094,0.9999930262565613,3.878244832254937e-19,3.8820578763848652e-19
9,7.799694685672875e-06,60.59028244018555,0.9999921917915344,7.05900166622327e-20,7.063905296292061e-20
10,2.7991277420369443e-06,59.98052215576172,0.9999972581863403,5.862782178197952e-19,5.865595109268515e-19
11,6.4258265410899185e-06,60.302879333496094,0.9999935626983643,8.262703261383072e-20,8.270130438555003e-20
12,5.493001481227111e-06,60.2758903503418,0.9999945163726807,5.1986265859169085e-20,5.2049496708415374e-20
13,1.3709126278627082e-06,59.684471130371094,0.9999986290931702,2.2868690163977907e-19,2.2897026269836677e-19
14,7.276906217157375e-06,60.27885437011719,0.9999927282333374,1.1171807002852572e-19,1.1153631001361427e-19
15,2.437773218844086e-06,59.966712951660156,0.999997615814209,1.5453818596128132e-19,1.5461201183095168e-19
16,2.6347761377110146e-06,60.1260986328125,0.9999973773956299,2.280250796015542e-19,2.2812883906964134e-19
17,3.1240347198036034e-06,60.164634704589844,0.9999969005584717,9.935682512620106e-20,9.943505831757268e-20
18,1.655902451602742e-06,59.77836608886719,0.9999983310699463,1.976170465745829e-18,1.977561163150684e-18
19,1.9046068473471678e-06,59.72232437133789,0.9999980926513672,1.6231263681881702e-19,1.6238104724041457e-19
20,1.5911937225610018e-06,59.784507751464844,0.9999983906745911,2.0715267610863882e-19,2.0734305689649673e-19
21,9.359860086988192e-07,58.697349548339844,0.9999990463256836,4.2372321708150014e-19,4.239983580327506e-19
22,1.3206270068621961e-06,59.51222610473633,0.9999986886978149,1.6076472339878888e-19,1.6086523876791114e-19
23,1.287585291720461e-06,59.64360046386719,0.9999986886978149,1.646879505712484e-19,1.6479817238787108e-19
24,1.2880350368504878e-06,58.99494171142578,0.9999986886978149,1.5480077186179686e-18,1.5492520050544015e-18
25,8.479731832267134e-07,59.10033416748047,0.9999991655349731,2.4137060480933163e-19,2.4152474474660206e-19
26,7.241050639095192e-07,59.076229095458984,0.9999992251396179,2.9684430936746403e-19,2.9697882961458047e-19
27,9.499531756773649e-07,58.9088134765625,0.9999990463256836,9.04327364228602e-18,9.04638053266677e-18
28,1.0421637171020848e-06,59.45106506347656,0.9999989867210388,1.8471850392043502e-19,1.8476237034229447e-19
29,1.0044437885881052e-06,58.831024169921875,0.9999990463256836,5.077746417854501e-19,5.079640144469365e-19
30,3.352766952957609e-07,58.56612777709961,0.9999996423721313,7.590603762541193e-19,7.593073413657547e-19
31,1.0412375104351668e-06,58.26782989501953,0.9999989867210388,2.2000309753065145e-18,2.2006128968674455e-18
32,4.041952195166232e-07,58.05464553833008,0.9999996423721313,1.566246327341727e-18,1.5669277173713175e-18
33,2.8545082386699505e-07,58.087406158447266,0.9999997019767761,2.4433010711456034e-18,2.443752091374598e-18
34,0.0006245551630854607,9.468612670898438,0.9996800422668457,0.000294136960292235,0.00025738883414305747
35,0.0014939875109121203,8.958419799804688,0.9991176128387451,0.0005693584098480642,0.0005436540232039988
36,0.00015538636944256723,11.033607482910156,0.999933123588562,8.831177547108382e-05,8.57322447700426e-05
37,0.00021604161884170026,10.641371726989746,0.9999196529388428,0.00013556548219639808,0.0001326065103057772
38,0.00018877757247537374,11.919635772705078,0.9999487400054932,0.0001372253755107522,0.0001345858909189701
39,0.0002842828689608723,12.069524765014648,0.9998220205307007,0.00010426503285998479,0.00010436410229885951
40,0.00016096080071292818,11.969138145446777,0.9998655915260315,2.5280223781010136e-05,2.4554890842409804e-05
41,6.729648157488555e-05,11.532585144042969,0.9999896287918091,5.6937486078822985e-05,5.626604979624972e-05
