epoch,lossD,lossG,D_x,D_G_z1,D_G_z2
1,0.1436222791671753,4.0530619621276855,0.9549443125724792,0.061978135257959366,0.0908391922712326
2,0.16284403204917908,5.498791217803955,0.936233639717102,0.05127829313278198,0.03167786821722984
3,2.620529890060425,1.1949470043182373,0.3093715310096741,0.30815085768699646,0.45568186044692993
4,1.9085134267807007,3.9401957988739014,0.8414828181266785,0.6746932864189148,0.0619380846619606
5,1.249873161315918,1.2689319849014282,0.47653234004974365,0.16343450546264648,0.37882477045059204
6,0.9839677810668945,3.065885543823242,0.7050531506538391,0.3533647060394287,0.10389670729637146
7,0.4448314309120178,2.9146759510040283,0.835794985294342,0.17259669303894043,0.11536647379398346
8,0.3126296401023865,2.986550807952881,0.9758990406990051,0.20304179191589355,0.11061152815818787
9,1.0833683013916016,4.655505657196045,0.8845248222351074,0.5152631998062134,0.035501640290021896
10,1.3124134540557861,1.5822769403457642,0.414700448513031,0.056764278560876846,0.3063221871852875
11,1.3466181755065918,3.2779951095581055,0.6245882511138916,0.34615224599838257,0.10926433652639389
12,0.8191525340080261,1.3304263353347778,0.6970641016960144,0.22109279036521912,0.38393470644950867
13,0.5521003007888794,2.9819624423980713,0.8426852822303772,0.2575959861278534,0.09674571454524994
14,0.9805331230163574,2.17285418510437,0.7023542523384094,0.3439178764820099,0.18963445723056793
15,0.5150634050369263,3.0739102363586426,0.8110153079032898,0.1624087542295456,0.11757082492113113
16,0.44271618127822876,3.658066987991333,0.8027647137641907,0.15299822390079498,0.05723750591278076
17,0.8395435214042664,1.3425157070159912,0.5832922458648682,0.09244456887245178,0.3574947416782379
18,0.7185958623886108,4.544776439666748,0.845508873462677,0.3160911500453949,0.04353576526045799
19,0.6163857579231262,2.285667896270752,0.6645380854606628,0.06579726934432983,0.1696312427520752
20,0.48343926668167114,4.220343112945557,0.9368247985839844,0.26880958676338196,0.03894985094666481
21,0.6482220888137817,3.5827248096466064,0.7951130270957947,0.23225156962871552,0.07996191829442978
22,0.7329139709472656,1.9595266580581665,0.6468890309333801,0.14005200564861298,0.2568947970867157
23,0.6718064546585083,4.2449164390563965,0.8477174043655396,0.2870466113090515,0.03476696088910103
24,0.30001288652420044,2.720339059829712,0.8601733446121216,0.10567615926265717,0.12688425183296204
25,0.5222147703170776,3.258964776992798,0.7583244442939758,0.13207140564918518,0.08626283705234528
26,0.41176193952560425,2.8198916912078857,0.7545648217201233,0.05860377103090286,0.11179673671722412
27,0.43406713008880615,4.551105976104736,0.9170900583267212,0.22630509734153748,0.02547604963183403
28,0.42916417121887207,3.108973741531372,0.8314460515975952,0.1426069736480713,0.10652625560760498
29,0.23310154676437378,6.211369037628174,0.8335028886795044,0.012336221523582935,0.009848879650235176
30,0.27664411067962646,4.17442512512207,0.8542701601982117,0.07083765417337418,0.03760259598493576
31,0.22398006916046143,4.758591651916504,0.9099621176719666,0.09246142208576202,0.021646570414304733
32,0.36735475063323975,4.6303582191467285,0.8723110556602478,0.15759995579719543,0.04077797010540962
33,0.27191162109375,3.6594860553741455,0.9152164459228516,0.1392853707075119,0.05815223604440689
34,0.5228104591369629,2.195014476776123,0.7228189706802368,0.0629601776599884,0.22942706942558289
35,0.29296189546585083,3.850196361541748,0.9539833068847656,0.18367047607898712,0.04517855495214462
36,0.5998079776763916,5.826178550720215,0.9742690920829773,0.36031395196914673,0.010787160135805607
37,0.23829446732997894,3.5091090202331543,0.9198031425476074,0.11410505324602127,0.07040882110595703
38,0.7858807444572449,7.364469528198242,0.8992411494255066,0.3467033803462982,0.014199548400938511
39,0.15257343649864197,4.228016376495361,0.9241047501564026,0.05610894039273262,0.034598689526319504
40,0.2289685308933258,4.985140800476074,0.9642770886421204,0.1427069455385208,0.026245351880788803
41,0.091392382979393,5.197028160095215,0.9561871290206909,0.0382196307182312,0.023411814123392105
42,0.39155828952789307,6.127241134643555,0.9592618942260742,0.22667473554611206,0.012395886704325676
43,0.3397520184516907,5.785220623016357,0.8472776412963867,0.09241397678852081,0.01418678741902113
44,0.13205590844154358,4.057116985321045,0.9006821513175964,0.013772557489573956,0.058698005974292755
45,0.0977504700422287,4.916346073150635,0.9753983020782471,0.06170884147286415,0.019580872729420662
46,0.14026419818401337,4.408046245574951,0.9171397089958191,0.03941057249903679,0.03339215740561485
47,0.3665023446083069,6.717312335968018,0.9701704382896423,0.21428172290325165,0.005522175692021847
48,0.11177624017000198,5.301297664642334,0.9265382289886475,0.025960396975278854,0.015086735598742962
49,0.5709198713302612,6.533559799194336,0.9449504017829895,0.29290997982025146,0.007704795338213444
50,0.11878321319818497,4.121028423309326,0.9475985765457153,0.05134467035531998,0.039935458451509476
51,0.12826649844646454,5.162070274353027,0.9695937037467957,0.07925380021333694,0.01702621392905712
52,0.18321391940116882,5.156210422515869,0.9565635323524475,0.10307236760854721,0.020964905619621277
53,0.1019936352968216,4.475205421447754,0.9486361742019653,0.042149532586336136,0.02910180203616619
54,0.34402772784233093,2.675058603286743,0.7826746106147766,0.02432394027709961,0.2014029324054718
55,0.14614686369895935,4.777462482452393,0.9136326909065247,0.03466092050075531,0.03006782941520214
56,1.491317868232727,1.473671555519104,0.44754481315612793,0.01411841157823801,0.5102126002311707
57,0.055398210883140564,4.363641738891602,0.9717238545417786,0.023732418194413185,0.039216164499521255
58,0.22488948702812195,4.068845272064209,0.8456535935401917,0.01729796826839447,0.05038249492645264
59,0.1665421575307846,4.406224727630615,0.9115443229675293,0.04973038658499718,0.036483291536569595
60,0.2778357267379761,4.451991558074951,0.8094532489776611,0.010392011143267155,0.03899402916431427
61,1.4032953977584839,10.99857234954834,0.9967995882034302,0.5937756896018982,0.0006606568931601942
62,0.04655560851097107,5.934802055358887,0.974582850933075,0.017120856791734695,0.013612356036901474
63,0.1649981290102005,5.4665045738220215,0.9032284617424011,0.018408261239528656,0.01799928955733776
64,0.9207801222801208,7.262688636779785,0.9910247325897217,0.3898797035217285,0.005029895808547735
65,0.04964424669742584,6.369452476501465,0.9632375836372375,0.009618190117180347,0.008462535217404366
66,0.12561814486980438,5.368434906005859,0.9700612425804138,0.0767388641834259,0.01821131631731987
