epoch,lossD,lossG,D_x,D_G_z1,D_G_z2
1,0.12384960055351257,6.001614093780518,0.923815131187439,0.02792106196284294,0.006715535651892424
2,0.023696228861808777,5.777827739715576,0.9899230599403381,0.012863771989941597,0.00849523488432169
3,0.006240648217499256,7.199007511138916,0.9967325329780579,0.0029367345850914717,0.002009462332352996
4,0.05007629841566086,6.2979302406311035,0.9753662347793579,0.022943632677197456,0.006493902299553156
5,0.051048729568719864,4.822062015533447,0.9722412824630737,0.02062021940946579,0.01719655655324459
6,0.06556033343076706,5.074898719787598,0.9596711993217468,0.019392067566514015,0.011589070782065392
7,0.034864865243434906,6.234582901000977,0.9751080870628357,0.008785800077021122,0.005008270964026451
8,0.7001034617424011,1.550718903541565,0.6013475656509399,0.05879996716976166,0.2754489779472351
9,0.36457887291908264,3.7759811878204346,0.8225996494293213,0.12025318294763565,0.04382384195923805
10,0.20938371121883392,3.696235179901123,0.8802189230918884,0.06318781524896622,0.040880877524614334
11,0.42879346013069153,3.5187206268310547,0.7082672715187073,0.025594204664230347,0.05182740464806557
12,0.8143817782402039,1.6340917348861694,0.5288679003715515,0.0862790122628212,0.2599640488624573
13,0.5919702053070068,2.2762272357940674,0.6539228558540344,0.09528631716966629,0.15230734646320343
14,0.26495546102523804,3.0112316608428955,0.8390809893608093,0.06913734972476959,0.06311553716659546
15,0.5058553814888,2.7966649532318115,0.7394030690193176,0.14330779016017914,0.09725676476955414
16,0.38609814643859863,3.651414394378662,0.7821947932243347,0.09198229014873505,0.03867863863706589
17,0.43166306614875793,3.8774542808532715,0.8487171530723572,0.21299542486667633,0.031139370054006577
18,1.013092041015625,1.7882484197616577,0.5599632859230042,0.2603031098842621,0.2136915922164917
19,0.6698916554450989,4.425070285797119,0.9206859469413757,0.40118059515953064,0.020861957222223282
20,0.3114851117134094,3.079582452774048,0.8647103905677795,0.13559198379516602,0.06324710696935654
21,0.30651092529296875,3.146911144256592,0.8619431853294373,0.12888212502002716,0.06009446084499359
22,0.8598216772079468,2.0358004570007324,0.48398497700691223,0.009524818509817123,0.19674578309059143
23,0.18753501772880554,5.0622477531433105,0.92265385389328,0.07243051379919052,0.015460459515452385
24,0.12292074412107468,5.157271385192871,0.9532455205917358,0.06340962648391724,0.011870430782437325
25,0.3198321759700775,2.6759910583496094,0.9891347885131836,0.2405131310224533,0.10412658751010895
26,0.12123962491750717,4.851979732513428,0.9335685968399048,0.038209833204746246,0.017195995897054672
27,0.3642800748348236,5.96506404876709,0.9523096084594727,0.22536441683769226,0.005805732682347298
28,0.11874879151582718,4.938256740570068,0.9454886317253113,0.05569474771618843,0.012293773703277111
29,0.15566189587116241,3.778341293334961,0.8985714316368103,0.04036901146173477,0.03934172913432121
30,0.2181435227394104,5.065296173095703,0.9336703419685364,0.11692097038030624,0.01819315180182457
31,0.4559275209903717,4.026963233947754,0.696137011051178,0.0024991706013679504,0.0341208390891552
32,1.5131365060806274,14.726396560668945,0.9951892495155334,0.671127200126648,1.2721925486403052e-05
33,0.1334429681301117,4.210226535797119,0.9341821074485779,0.055499929934740067,0.0341656468808651
34,0.23204874992370605,4.9597320556640625,0.8225541114807129,0.013187093660235405,0.017074793577194214
35,0.1555207222700119,4.87073278427124,0.8795250654220581,0.014450236223638058,0.015241432934999466
36,0.23873057961463928,3.6173713207244873,0.8907909989356995,0.0978742241859436,0.042351361364126205
37,0.2018495351076126,4.195371150970459,0.9246817827224731,0.10172057896852493,0.026608269661664963
38,0.1747514009475708,4.296093463897705,0.9139568209648132,0.07243913412094116,0.020790355280041695
39,0.3009054958820343,3.363395929336548,0.7939176559448242,0.024097925052046776,0.0564660020172596
40,0.2253267765045166,5.1828532218933105,0.9911452531814575,0.17184090614318848,0.01075972430408001
41,0.7668099999427795,9.656265258789062,0.9862990379333496,0.39531221985816956,0.0017847997369244695
42,0.1802634298801422,4.129366874694824,0.9379971027374268,0.09835837781429291,0.02802969329059124
43,0.12600235641002655,4.452663421630859,0.9440566301345825,0.05167526751756668,0.03808458149433136
44,0.1277412325143814,4.0059003829956055,0.9200878739356995,0.03352484107017517,0.038795989006757736
